Rank,Previous Rank,University,Country,Region,Size,Focus,Research,Status,Academic Reputation SCORE,Academic Reputation  RANK,Employer Reputation SCORE,Employer Reputation RANK,Faculty Student Ratio SCORE,Faculty Student Ratio RANK,Citations per Faculty SCORE,Citations per Faculty RANK,International Faculty  SCORE,International Faculty  RANK,International Student SCORE,International student  RANK,International Students Diversity SCORE,International Students Diversity RANK,International Research Network SCORE,International Research Network RANK,Employment Outcomes SCORE,Employment Outcomes RANK,Sustainability SCORE,Sustainability RANK,Overall SCORE,Ranking_Source,Student Population,Students to Staff Ratio,International Students,Female to Male Ratio,Overall Score,Teaching,Research Environment,Research Quality,Industry Impact,International Outlook,Year
72,63,Sorbonne University (merged from Paris IV & UPMC),France,Europe,XL,FC,VH,Public,93.2,52.0,62.1,182.0,56.4,329.0,68.8,225.0,35.5,533,66.8,300.0,70.0,270.0,99.4,900%,84.2,140.0,89.2,68=,75.7,QS,,,,,,,,,,,
74,69,The University of Warwick,United Kingdom,Europe,L,FC,VH,Public,82.7,85.0,93.0,60.0,48.3,402.0,43.6,432.0,99.5,111,99.2,60.0,99.3,49.0,93.8,10100%,75.3,182.0,84.6,117=,75.2,QS,,,,,,,,,,,
75,87,"Trinity College Dublin, The University of Dublin",Ireland,Europe,L,FC,VH,Public,82.5,87.0,68.1,154.0,28.7,662.0,66.0,240.0,100.0,88,94.9,126.0,95.2,107.0,89.4,18300%,95.3,74.0,73.8,262=,73.9,QS,,,,,,,,,,,
76,80,University of Birmingham,United Kingdom,Europe,XL,FC,VH,Public,81.1,95.0,75.7,122.0,49.9,385.0,56.1,316.0,96.7,154,93.4,139.0,93.9,115.0,96.3,5400%,54.7,305.0,92.8,38,73.8,QS,,,,,,,,,,,
77,77,The University of Western Australia,Australia,Oceania,L,FC,VH,Public,69.0,137.0,56.5,209.0,15.1,801.0,99.2,34.0,100.0,77,100.0,36.0,100.0,23.0,93.2,12200%,82.6,147.0,83.7,129=,73.7,QS,,,,,,,,,,,
78,74,KTH Royal Institute of Technology,Sweden,Europe,L,FO,VH,Public,60.2,174.0,62.1,183.0,68.3,242.0,88.2,109.0,95.6,171,81.8,215.0,60.9,331.0,91.7,14700%,72.7,197.0,89.8,66,73.6,QS,,,,,,,,,,,
79,78,University of Glasgow,United Kingdom,Europe,XL,FC,VH,Public,88.3,72.0,73.5,132.0,50.3,377.0,44.8,416.0,98.0,140,99.1,67.0,99.1,57.0,97.0,3800%,44.5,395.0,95.4,19=,73.4,QS,,,,,,,,,,,
80,84,Ruprecht-Karls-Universität Heidelberg,Germany,Europe,L,FO,VH,Public,87.1,74.0,72.2,138.0,99.8,32.0,41.4,456.0,66.2,352,71.4,265.0,74.1,240.0,94.7,8800%,34.6,494.0,85.5,106,73,QS,,,,,,,,,,,
81,76,University of Washington,United States of America,Americas,XL,FC,VH,Public,90.1,68.0,74.8,128.0,49.2,391.0,69.2,221.0,14.7,801,45.8,441.0,34.2,561.0,95.0,8300%,79.9,160.0,74.9,237=,72.7,QS,,,,,,,,,,,
82,,Adelaide University,Australia,Oceania,XL,CO,VH,,78.3,102.0,62.7,176.0,30.5,621.0,69.8,218.0,100.0,90,97.5,96.0,72.5,251.0,96.7,4600%,70.4,207.0,86.1,98=,72.6,QS,,,,,,,,,,,
82,89,Pennsylvania State University,United States of America,Americas,XL,FC,VH,Public,86.1,77.0,85.8,89.0,29.1,647.0,67.2,235.0,37.4,518,38.2,514.0,43.8,476.0,97.4,3100%,79.2,165.0,95.4,19=,72.6,QS,,,,,,,,,,,
84,71,Universidad de Buenos Aires,Argentina,Americas,XL,FC,VH,Public,98.1,34.0,95.8,44.0,82.0,158.0,2.3,801.0,72.3,328,78.5,233.0,80.5,202.0,75.8,42300%,99.9,12.0,66.1,376=,72.3,QS,,,,,,,,,,,
