university_name,country,year,ranking_source,rank,score
Delft University of Technology,Netherlands,2026,QS,47,84.3
Shanghai Jiao Tong University,China (Mainland),2026,QS,47,84.3
Zhejiang University,China (Mainland),2026,QS,49,84
Yonsei University,Republic of Korea,2026,QS,50,82.9
University of Bristol,United Kingdom,2026,QS,51,82.5
Carnegie Mellon University,United States of America,2026,QS,52,82.3
The University of Amsterdam,Netherlands,2026,QS,53,81.5
The Hong Kong Polytechnic University,"Hong Kong SAR, China",2026,QS,54,81.2
New York University (NYU),United States of America,2026,QS,55,81.1
London School of Economics and Political Science (LSE),United Kingdom,2026,QS,56,80.5
Kyoto University,Japan,2026,QS,57,80.2
Ludwig-Maximilians-Universität München,Germany,2026,QS,58,80.1
Universiti Malaya (UM),Malaysia,2026,QS,58,80.1
KU Leuven,Belgium,2026,QS,60,79.7
Korea University,Republic of Korea,2026,QS,61,79.6
Duke University,United States of America,2026,QS,62,79
City University of Hong Kong,"Hong Kong SAR, China",2026,QS,63,78.9
National Taiwan University (NTU),Taiwan,2026,QS,63,78.9
The University of Auckland,New Zealand,2026,QS,65,77.5
"University of California, San Diego (UCSD)",United States of America,2026,QS,66,76.9
King Fahd University of Petroleum & Minerals,Saudi Arabia,2026,QS,67,76.5
University of Texas at Austin,United States of America,2026,QS,68,76.4
Brown University,United States of America,2026,QS,69,76.2
Université Paris-Saclay,France,2026,QS,70,75.9
University of Illinois at Urbana-Champaign,United States of America,2026,QS,70,75.9
Lund University,Sweden,2026,QS,72,75.7
Sorbonne University (merged from Paris IV & UPMC),France,2026,QS,72,75.7
The University of Warwick,United Kingdom,2026,QS,74,75.2
"Trinity College Dublin, The University of Dublin",Ireland,2026,QS,75,73.9
University of Birmingham,United Kingdom,2026,QS,76,73.8
The University of Western Australia,Australia,2026,QS,77,73.7
KTH Royal Institute of Technology,Sweden,2026,QS,78,73.6
University of Glasgow,United Kingdom,2026,QS,79,73.4
Ruprecht-Karls-Universität Heidelberg,Germany,2026,QS,80,73
University of Washington,United States of America,2026,QS,81,72.7
Adelaide University,Australia,2026,QS,82,72.6
Pennsylvania State University,United States of America,2026,QS,82,72.6
Universidad de Buenos Aires,Argentina,2026,QS,84,72.3
Tokyo Institute of Technology,Japan,2026,QS,85,72.1
University of Leeds,United Kingdom,2026,QS,86,72
University of Southampton,United Kingdom,2026,QS,87,71.2
Boston University,United States of America,2026,QS,88,71.1
Freie Universität Berlin,Germany,2026,QS,88,71.1
Purdue University,United States of America,2026,QS,88,71.1
The University of Osaka,Japan,2026,QS,91,71
The University of Sheffield,United Kingdom,2026,QS,92,70.9
Uppsala University,Sweden,2026,QS,93,70.3
Durham University,United Kingdom,2026,QS,94,70.1
University of Alberta,Canada,2026,QS,94,70.1
University of Technology Sydney,Australia,2026,QS,96,69.9
The University of Nottingham,United Kingdom,2026,QS,97,69.4
Karlsruhe Institute of Technology (KIT),Germany,2026,QS,98,69.1
Politecnico di Milano,Italy,2026,QS,98,69.1
