University_Name,Country,Year,QS_Rank,QS_Previous_Rank,QS_Academic_Reputation_Score,QS_Region,QS_Size,QS_Focus,QS_Research_Level,QS_Status,THE_Rank,THE_Student_Population,THE_Students_to_Staff_Ratio,THE_International_Students_Pct,THE_Female_Ratio,THE_Male_Ratio,THE_Overall_Score,THE_Teaching,THE_Research_Environment,THE_Research_Quality,THE_Industry_Impact,THE_International_Outlook,Data_Source,QS_THE_Match_Status,QS_Data_Available,THE_Data_Available
Amedeo Avogadro University of Eastern Piedmont,Italy,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,688,15817,35.5,10,61,39,41.625,25.6,24.8,70.6,52.9,47.8,THE only,THE record not matched in QS,FALSE,TRUE
American International University-Bangladesh (AIUB),Bangladesh,2026,1401,-1,8.3,Asia,M,FO,VH,Private not for Profit,1465,13515,21.8,2,26,74,27.875,11.9,9.2,59.1,25.1,39.5,QS + THE,Matched,TRUE,TRUE
American University,United States,2026,587,715.5,19.8,Americas,M,CO,VH,Private not for Profit,757,13316,12,11,64,36,39.9395,35.7,18.6,63.6,41.6,43.6,QS + THE,Matched,TRUE,TRUE
The American University in Cairo,Egypt,2026,381,410,40.8,Africa,M,CO,VH,Private not for Profit,795,6233,10.4,8,58,42,39.249,30.1,25.9,53.7,33.9,71.9,QS + THE,Matched,TRUE,TRUE
American University in Dubai,United Arab Emirates,2026,678,625.5,14.4,Asia,S,FO,HI,Private for Profit,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
American University of Beirut (AUB),Lebanon,2026,237,250,41.5,Asia,M,FC,VH,Private not for Profit,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
American University of Central Asia,Kyrgyzstan,2026,925.5,-1,12.7,Asia,S,FO,MD,Private not for Profit,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
American University of the Middle East,Kuwait,2026,563,615.5,25.9,Asia,M,SP,HI,Private for Profit,614,5014,11.1,15,62,38,43.3375,29.1,19.5,71.9,27.7,85.6,QS + THE,Matched,TRUE,TRUE
American University of Ras Al Khaimah ( AURAK ),United Arab Emirates,2026,591,485,8.4,Asia,S,SP,MD,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
American University of Sharjah (AUS),United Arab Emirates,2026,272,332,31.7,Asia,M,CO,VH,Private not for Profit,560,5432,17.7,72,53,47,44.939,20.9,28.7,73,49.7,87.5,QS + THE,Matched,TRUE,TRUE
