Rank_QS,Previous Rank,Name_QS,Country/Territory,Region,Size,Focus,Research,Status,Academic Reputation SCORE,Academic Reputation  RANK,Employer Reputation SCORE,Employer Reputation RANK,Faculty Student Ratio SCORE,Faculty Student Ratio RANK,Citations per Faculty SCORE,Citations per Faculty RANK,International Faculty  SCORE,International Faculty  RANK,International Student SCORE,International student  RANK,International Students Diversity SCORE,International Students Diversity RANK,International Research Network SCORE,International Research Network RANK,Employment Outcomes SCORE,Employment Outcomes RANK,Sustainability SCORE,Sustainability RANK,Overall SCORE,Rank_THE,Name_THE,Country,Student Population,Students to Staff Ratio,International Students,Female to Male Ratio,Overall Score,Teaching,Research Environment,Research Quality,Industry Impact,International Outlook,Year
68,66,University of Texas at Austin,United States of America,Americas,XL,FC,VH,Public,97.6,39,96.8,38,10.7,801,85.4,122,9.1,801,19.1,742.0,14.4,801.0,90.5,169.0,93.9,82,70.6,308=,76.4,50,University of Texas at Austin,United States,51158,17.0,0.1,"2 days, 8:44:00",75.828,67.8,76.0,90.1,82.3,46.2,2026
69,79,Brown University,United States of America,Americas,M,FC,VH,Private not for Profit,72.4,126,64.3,166,84.5,139,82.2,143,91.0,218,67.0,297.0,70.2,269.0,80.1,352.0,81.9,151,72.6,280,76.2,65,Brown University,United States,10887,10.3,0.22,,72.5865,70.0,61.0,87.4,69.6,69.9,2026
70,69,University of Illinois at Urbana-Champaign,United States of America,Americas,XL,FC,VH,Public,91.7,62,91.5,66,8.6,801,81.6,147,14.2,801,70.1,277.0,52.2,395.0,91.3,152.0,92.5,86,75.9,223=,75.9,43,University of Illinois at Urbana-Champaign,United States,50640,18.9,0.23,"1 day, 23:53:00",77.072,67.9,80.7,85.3,84.4,62.3,2026
72,75,Lund University,Sweden,Europe,L,FC,VH,Public,80.1,99,64.1,167,68.1,246,56.6,312,98.8,134,82.0,213.0,83.7,181.0,97.1,35.0,96.1,65,98.8,3=,75.7,96,Lund University,Sweden,23748,10.2,0.22,"2 days, 8:44:00",66.5655,49.1,56.7,85.7,99.7,79.2,2026
76,80,University of Birmingham,United Kingdom,Europe,XL,FC,VH,Public,81.1,95,75.7,122,49.9,385,56.1,316,96.7,154,93.4,139.0,93.9,115.0,96.3,54.0,54.7,305,92.8,38,73.8,100,University of Birmingham,United Kingdom,34145,14.6,0.35,"2 days, 8:44:00",66.258,47.7,48.4,93.7,74.2,94.3,2026
77,77,The University of Western Australia,Australia,Oceania,L,FC,VH,Public,69.0,137,56.5,209,15.1,801,99.2,34,100.0,77,100.0,36.0,100.0,23.0,93.2,122.0,82.6,147,83.7,129=,73.7,154,The University of Western Australia,Australia,19880,23.6,0.3,"2 days, 3:49:00",61.7164999999999,38.7,45.1,87.6,98.4,93.4,2026
78,74,KTH Royal Institute of Technology,Sweden,Europe,L,FO,VH,Public,60.2,174,62.1,183,68.3,242,88.2,109,95.6,171,81.8,215.0,60.9,331.0,91.7,147.0,72.7,197,89.8,66,73.6,99,KTH Royal Institute of Technology,Sweden,15263,18.2,0.28,31 : 69,66.277,51.1,57.3,79.7,97.2,90.5,2026
79,78,University of Glasgow,United Kingdom,Europe,XL,FC,VH,Public,88.3,72,73.5,132,50.3,377,44.8,416,98.0,140,99.1,67.0,99.1,57.0,97.0,38.0,44.5,395,95.4,19=,73.4,84,University of Glasgow,United Kingdom,34075,13.4,0.45,"2 days, 12:40:00",68.9254999999999,50.6,52.2,95.9,73.2,95.5,2026
81,76,University of Washington,United States of America,Americas,XL,FC,VH,Public,90.1,68,74.8,128,49.2,391,69.2,221,14.7,801,45.8,441.0,34.2,561.0,95.0,83.0,79.9,160,74.9,237=,72.7,25,University of Washington,United States,49524,9.5,0.18,"2 days, 9:43:00",83.7164999999999,77.0,80.0,97.6,81.6,70.1,2026
82,,Adelaide University,Australia,Oceania,XL,CO,VH,,78.3,102,62.7,176,30.5,621,69.8,218,100.0,90,97.5,96.0,72.5,251.0,96.7,46.0,70.4,207,86.1,98=,72.6,134,Adelaide University,Australia,43623,30.4,0.27,"2 days, 7:45:00",63.0524999999999,38.3,48.9,89.5,99.7,89.8,2026
