university_name,country,year,ranking_source,rank,score,university_name_std,country_std,rank_original,score_original,rank_normalized,score_normalized
Qassim University,Saudi Arabia,2026,THE,808.0,38.9424999999999,qassim university,saudi arabia,808,38.9424999999999,63.15068493150685,32.60155112809305
Fuzhou University,China,2026,THE,809.0,38.9024999999999,fuzhou university,china,809,38.9024999999999,63.10502283105023,32.55606350072769
"University of Engineering and Technology, Taxila",Pakistan,2026,THE,810.0,38.9009999999999,"university of engineering and technology, taxila",pakistan,810,38.9009999999999,63.0593607305936,32.55435771470149
Kurdistan University of Medical Sciences,Iran,2026,THE,811.0,38.885,kurdistan university of medical sciences,iran,811,38.885,63.013698630136986,32.536162663755455
William & Mary,United States,2026,THE,812.0,38.8835,william & mary,united states,812,38.8835,62.96803652968036,32.534456877729255
Northeast Agricultural University,China,2026,THE,813.0,38.876,northeast agricultural university,china,813,38.876,62.92237442922375,32.525927947598255
Pontifical Catholic University of Rio de Janeiro (PUC-Rio),Brazil,2026,THE,814.0,38.8495,pontifical catholic university of rio de janeiro (puc-rio),brazil,814,38.8495,62.87671232876713,32.4957923944687
JÃ¶nkÃ¶ping University,Sweden,2026,THE,815.0,38.8384999999999,jã¶nkã¶ping university,sweden,815,38.8384999999999,62.8310502283105,32.483283296943114
Future University in Egypt,Egypt,2026,THE,816.0,38.7529999999999,future university in egypt,egypt,816,38.7529999999999,62.78538812785388,32.386053493449666
Birjand University of Medical Sciences,Iran,2026,THE,817.0,38.692,birjand university of medical sciences,iran,817,38.692,62.73972602739726,32.31668486171762
"Birla Institute of Technology and Science, Pilani",India,2026,THE,818.0,38.69,"birla institute of technology and science, pilani",india,818,38.69,62.694063926940636,32.314410480349345
Oxford Brookes University,United Kingdom,2026,THE,819.0,38.6359999999999,oxford brookes university,united kingdom,819,38.6359999999999,62.648401826484026,32.253002183406004
Shahroud University of Medical Sciences,Iran,2026,THE,820.0,38.5915,shahroud university of medical sciences,iran,820,38.5915,62.6027397260274,32.20239719796216
Jawaharlal Nehru University,India,2026,THE,821.0,38.5834999999999,jawaharlal nehru university,india,821,38.5834999999999,62.55707762557078,32.193299672488976
Leeds Beckett University,United Kingdom,2026,THE,822.0,38.5725,leeds beckett university,united kingdom,822,38.5725,62.51141552511415,32.18079057496361
National Technical University of Athens,Greece,2026,THE,823.0,38.5325,national technical university of athens,greece,823,38.5325,62.465753424657535,32.135302947598255
Jordan University of Science and Technology,Jordan,2026,THE,824.0,38.5284999999999,jordan university of science and technology,jordan,824,38.5284999999999,62.42009132420091,32.13075418486161
RUDN University,Russian Federation,2026,THE,825.0,38.509,rudn university,russian federation,825,38.509,62.374429223744286,32.10857896652111
Kerman University of Medical Sciences,Iran,2026,THE,826.0,38.4924999999999,kerman university of medical sciences,iran,826,38.4924999999999,62.328767123287676,32.08981532023279
University of JaÃ©n,Spain,2026,THE,827.0,38.4864999999999,university of jaã©n,spain,827,38.4864999999999,62.28310502283105,32.08299217612798
Robert Gordon University,United Kingdom,2026,THE,828.0,38.43,robert gordon university,united kingdom,828,38.43,62.23744292237443,32.018740902474526
Rafsanjan University of Medical Sciences,Iran,2026,THE,829.0,38.337,rafsanjan university of medical sciences,iran,829,38.337,62.19178082191781,31.91298216885008
PanthÃ©on-Sorbonne University â€“ Paris 1,France,2026,THE,830.0,38.3325,panthã©on-sorbonne university â€“ paris 1,france,830,38.3325,62.146118721461185,31.907864810771475
Abdul Wali Khan University Mardan,Pakistan,2026,THE,831.0,38.3315,abdul wali khan university mardan,pakistan,831,38.3315,62.10045662100456,31.906727620087338
National Autonomous University of Mexico,Mexico,2026,THE,832.0,38.3165,national autonomous university of mexico,mexico,832,38.3165,62.054794520547944,31.889669759825328
Cankaya University,Turkey,2026,THE,833.0,38.2315,cankaya university,turkey,833,38.2315,62.009132420091326,31.79300855167394
Urmia University,Iran,2026,THE,834.0,38.225,urmia university,iran,834,38.225,61.96347031963471,31.78561681222708
University of Tunis El Manar,Tunisia,2026,THE,835.0,38.1955,university of tunis el manar,tunisia,835,38.1955,61.917808219178085,31.752069687045125
Southwest Jiaotong University,China,2026,THE,836.0,38.1925,southwest jiaotong university,china,836,38.1925,61.87214611872146,31.74865811499273
Northeast Normal University,China,2026,THE,837.0,38.179,northeast normal university,china,837,38.179,61.826484018264836,31.73330604075692
Southern Illinois University Carbondale,United States,2026,THE,838.0,38.1699999999999,southern illinois university carbondale,united states,838,38.1699999999999,61.78082191780822,31.7230713245996
Nanjing Normal University,China,2026,THE,839.0,38.1675,nanjing normal university,china,839,38.1675,61.7351598173516,31.720228347889375
Nanjing Medical University,China,2026,THE,840.0,38.1605,nanjing medical university,china,840,38.1605,61.689497716894984,31.712268013100438
University of Seville,Spain,2026,THE,841.0,38.1474999999999,university of seville,spain,841,38.1474999999999,61.64383561643836,31.697484534206584
University of Namur,Belgium,2026,THE,842.0,38.14,university of namur,belgium,842,38.14,61.598173515981735,31.68895560407569
Istanbul Medipol University,Turkey,2026,THE,843.0,38.1374999999999,istanbul medipol university,turkey,843,38.1374999999999,61.55251141552511,31.686112627365247
King Saud bin Abdulaziz University for Health Sciences,Saudi Arabia,2026,THE,844.0,38.136,king saud bin abdulaziz university for health sciences,saudi arabia,844,38.136,61.50684931506849,31.684406841339158
University of Management and Technology,Pakistan,2026,THE,845.0,38.079,university of management and technology,pakistan,845,38.079,61.46118721461187,31.619586972343527
Cairo University,Egypt,2026,THE,846.0,38.036,cairo university,egypt,846,38.036,61.41552511415526,31.570687772925766
Guru Gobind Singh Indraprastha University,India,2026,THE,847.0,38.028,guru gobind singh indraprastha university,india,847,38.028,61.369863013698634,31.561590247452692
University of Indonesia,Indonesia,2026,THE,848.0,38.0234999999999,university of indonesia,indonesia,848,38.0234999999999,61.32420091324201,31.55647288937398
National Institute of Applied Sciences of Lyon (INSA Lyon),France,2026,THE,849.0,38.0195,national institute of applied sciences of lyon (insa lyon),france,849,38.0195,61.278538812785385,31.55192412663756
Guilan University of Medical Sciences,Iran,2026,THE,850.0,38.0085,guilan university of medical sciences,iran,850,38.0085,61.23287671232877,31.539415029112085
University of Salford,United Kingdom,2026,THE,851.0,38.007,university of salford,united kingdom,851,38.007,61.18721461187214,31.53770924308588
Empress Catherine II Saint Petersburg Mining University,Russian Federation,2026,THE,852.0,37.9965,empress catherine ii saint petersburg mining university,russian federation,852,37.9965,61.14155251141552,31.52576874090247
University of Malakand,Pakistan,2026,THE,853.0,37.9795,university of malakand,pakistan,853,37.9795,61.09589041095891,31.5064364992722
European University Cyprus,Cyprus,2026,THE,854.0,37.9584999999999,european university cyprus,cyprus,854,37.9584999999999,61.050228310502284,31.482555494905274
National University of Science and Technology (MISiS),Russian Federation,2026,THE,855.0,37.9115,national university of science and technology (misis),russian federation,855,37.9115,61.00456621004567,31.42910753275109
University of Rhode Island,United States,2026,THE,856.0,37.9,university of rhode island,united states,856,37.9,60.95890410958904,31.416029839883553
Najran University,Saudi Arabia,2026,THE,857.0,37.865,najran university,saudi arabia,857,37.865,60.91324200913242,31.37622816593887
University of Ljubljana,Slovenia,2026,THE,858.0,37.862,university of ljubljana,slovenia,858,37.862,60.86757990867579,31.372816593886466
ReykjavÃ­k University,Iceland,2026,THE,859.0,37.8349999999999,reykjavã­k university,iceland,859,37.8349999999999,60.82191780821918,31.342112445414738
University of CÃ³rdoba,Spain,2026,THE,860.0,37.833,university of cã³rdoba,spain,860,37.833,60.77625570776256,31.339838064046578
International University of Rabat,Morocco,2026,THE,861.0,37.8305,international university of rabat,morocco,861,37.8305,60.73059360730594,31.336995087336245
Jeonbuk National University,South Korea,2026,THE,862.0,37.83,jeonbuk national university,south korea,862,37.83,60.68493150684932,31.336426491994178
Norwegian University of Life Sciences,Norway,2026,THE,863.0,37.8204999999999,norwegian university of life sciences,norway,863,37.8204999999999,60.63926940639269,31.325623180494798
Mashhad University of Medical Sciences,Iran,2026,THE,864.0,37.8035,mashhad university of medical sciences,iran,864,37.8035,60.59360730593607,31.306290938864628
Chonnam National University,South Korea,2026,THE,865.0,37.7795,chonnam national university,south korea,865,37.7795,60.54794520547945,31.278998362445414
Kaohsiung Medical University,Taiwan,2026,THE,866.0,37.7789999999999,kaohsiung medical university,taiwan,866,37.7789999999999,60.50228310502283,31.278429767103233
The Islamia University of Bahawalpur,Pakistan,2026,THE,867.0,37.7469999999999,the islamia university of bahawalpur,pakistan,867,37.7469999999999,60.456621004566216,31.242039665210953
Vilnius University,Lithuania,2026,THE,868.0,37.738,vilnius university,lithuania,868,37.738,60.41095890410959,31.23180494905386
KL University,India,2026,THE,869.0,37.7275,kl university,india,869,37.7275,60.36529680365297,31.219864446870453
National Institute of Technology Silchar,India,2026,THE,870.0,37.7134999999999,national institute of technology silchar,india,870,37.7134999999999,60.31963470319634,31.20394377729246
The University of Alabama,United States,2026,THE,871.0,37.7005,the university of alabama,united states,871,37.7005,60.273972602739725,31.189160298398832
Wenzhou University,China,2026,THE,872.0,37.698,wenzhou university,china,872,37.698,60.2283105022831,31.1863173216885
SR University,India,2026,THE,873.0,37.6849999999999,sr university,india,873,37.6849999999999,60.18264840182649,31.171533842794652
The Catholic University of America,United States,2026,THE,874.0,37.6745,the catholic university of america,united states,874,37.6745,60.136986301369866,31.15959334061136
University of Westminster,United Kingdom,2026,THE,875.0,37.673,university of westminster,united kingdom,875,37.673,60.09132420091324,31.157887554585155
University of Debrecen,Hungary,2026,THE,876.0,37.6635,university of debrecen,hungary,876,37.6635,60.04566210045662,31.14708424308588
