QS_Rank,QS_Previous_Rank,QS_University_Name,QS_Country,QS_Region,QS_Size,QS_Focus,QS_Research_Level,QS_Status,QS_Academic_Reputation_Score,THE_Rank,THE_University_Name,THE_Country,THE_Student_Population,THE_Students_to_Staff_Ratio,THE_International_Students,THE_Female_to_Male_Ratio,THE_Overall_Score,THE_Teaching,THE_Research_Environment,THE_Research_Quality,THE_Industry_Impact,THE_International_Outlook,THE_Year,University_Name,Country,Year,Data_Source,QS_THE_Match_Status
,,,,,,,,,,1007.0,Indian Institute of Technology Ropar,India,"2,955",16.7,1%,24 : 76,35.3505,40.6,21.0,46.0,40.4,24.9,2026.0,Indian Institute of Technology Ropar,India,2026,THE only,THE record not matched in QS
,,,,,,,,,,199.0,Indiana University,United States,"67,529",11.5,13%,53 : 47,58.8775,47.1,36.9,87.3,85.3,62.4,2026.0,Indiana University,United States,2026,THE only,THE record not matched in QS
306,355,Indiana University Bloomington,United States of America,Americas,XL,FC,VH,Public,44.7,,,,,,,,,,,,,,,Indiana University Bloomington,United States,2026,QS only,QS record not matched in THE
,,,,,,,,,,1169.0,Indraprastha Institute of Information Technology Delhi,India,"3,033",16.5,6%,18 : 82,32.634,25.3,14.6,52.4,52.6,41.5,2026.0,Indraprastha Institute of Information Technology Delhi,India,2026,THE only,THE record not matched in QS
1201-1400,,Industrial University of Ho Chi Minh City,Viet Nam,Asia,L,CO,HI,Public,22.6,,,,,,,,,,,,,,,Industrial University of Ho Chi Minh City,Viet Nam,2026,QS only,QS record not matched in THE
,,,,,,,,,,2182.0,Industrial University of Tyumen,Russian Federation,"11,584",11.2,7%,33 : 67,12.8235,20.2,7.9,6.7,18.9,24.1,2026.0,Industrial University of Tyumen,Russian Federation,2026,THE only,THE record not matched in QS
643,631-640,Inha University,Republic of Korea,Asia,L,FC,VH,Private not for Profit,17.5,,,,,,,,,,,,,,,Inha University,Republic of Korea,2026,QS only,QS record not matched in THE
,,,,,,,,,,880.0,Inha University,South Korea,"14,163",17.0,8%,43 : 57,37.5615,31.6,28.2,46.2,83.6,38.1,2026.0,Inha University,South Korea,2026,THE only,THE record not matched in QS
,,,,,,,,,,968.0,Innopolis University,Russian Federation,"1,248",13.7,21%,19 : 81,36.0775,23.9,24.5,45.3,58.3,80.0,2026.0,Innopolis University,Russian Federation,2026,THE only,THE record not matched in QS
,,,,,,,,,,1318.0,Inönü University,Turkey,"26,262",29.7,3%,52 : 48,30.0485,23.1,15.5,52.6,31.6,22.6,2026.0,Inönü University,Turkey,2026,THE only,THE record not matched in QS
,,,,,,,,,,401.0,Institut Agro,France,"2,565",8.8,17%,61 : 39,49.822,48.4,34.9,58.2,78.7,64.2,2026.0,Institut Agro,France,2026,THE only,THE record not matched in QS
406,405,Institut National des Sciences Appliquées de Lyon (INSA),France,Europe,M,FO,VH,Public,9.4,,,,,,,,,,,,,,,Institut National des Sciences Appliquées de Lyon (INSA),France,2026,QS only,QS record not matched in THE
41,46,Institut Polytechnique de Paris,France,Europe,M,CO,VH,Public,58.1,69.0,Institut Polytechnique de Paris,France,"6,217",7.6,43%,23 : 77,71.64349999999999,71.8,62.4,70.9,99.1,95.1,2026.0,Institut Polytechnique de Paris,France,2026,QS + THE,Matched
,,,,,,,,,,1323.0,Institut Teknologi Bandung,Indonesia,"28,425",19.4,6%,44 : 56,29.9955,23.9,25.6,34.8,68.9,31.0,2026.0,Institut Teknologi Bandung,Indonesia,2026,THE only,THE record not matched in QS
1201-1400,,Institut Teknologi Nasional Bandung (ITENAS Bandung),Indonesia,Asia,M,SP,LO,Private not for Profit,22.4,,,,,,,,,,,,,,,Institut Teknologi Nasional Bandung (ITENAS Bandung),Indonesia,2026,QS only,QS record not matched in THE
509,585,Institut Teknologi Sepuluh Nopember (ITS),Indonesia,Asia,L,CO,VH,Public,27.4,1665.0,Institut Teknologi Sepuluh Nopember,Indonesia,"20,850",6.1,7%,41 : 59,24.5845,25.9,11.1,28.3,42.0,47.4,2026.0,Institut Teknologi Sepuluh Nopember (ITS),Indonesia,2026,QS + THE,Matched
,,,,,,,,,,1041.0,Institute for Advanced Studies in Basic Sciences (IASBS),Iran,"1,053",9.4,5%,57 : 43,34.795,37.6,9.1,51.2,25.6,62.4,2026.0,Institute for Advanced Studies in Basic Sciences (IASBS),Iran,2026,THE only,THE record not matched in QS
,,,,,,,,,,170.0,Institute of Science Tokyo,Japan,"13,407",8.3,17%,23 : 77,60.6895,66.9,60.5,52.7,92.1,52.2,2026.0,Institute of Science Tokyo,Japan,2026,THE only,THE record not matched in QS
,,,,,,,,,,1196.0,Institute of Space Technology,Pakistan,"2,193",10.1,0%,34 : 66,32.18,23.2,10.4,59.1,22.5,49.2,2026.0,Institute of Space Technology,Pakistan,2026,THE only,THE record not matched in QS
,,,,,,,,,,1681.0,Instituto Politécnico de Viana do Castelo,Portugal,"5,913",18.6,11%,49 : 51,24.3305,13.8,15.6,38.1,22.7,45.3,2026.0,Instituto Politécnico de Viana do Castelo,Portugal,2026,THE only,THE record not matched in QS
851-900,801-850,Instituto Politécnico Nacional (IPN),Mexico,Americas,XL,FO,VH,Public,26.6,2021.0,Instituto Politécnico Nacional (IPN),Mexico,"139,234",12.7,0%,44 : 56,17.381999999999998,21.9,10.7,16.2,25.4,25.9,2026.0,Instituto Politécnico Nacional (IPN),Mexico,2026,QS + THE,Matched
801-850,751-760,Instituto Tecnológico Autonomo de México (ITAM),Mexico,Americas,S,SP,MD,Private not for Profit,21.5,,,,,,,,,,,,,,,Instituto Tecnológico Autonomo de México (ITAM),Mexico,2026,QS only,QS record not matched in THE
1201-1400,1201-1400,Instituto Tecnológico de Santo Domingo (INTEC),Dominican Republic,Americas,M,FO,MD,Public,1.9,,,,,,,,,,,,,,,Instituto Tecnológico de Santo Domingo (INTEC),Dominican Republic,2026,QS only,QS record not matched in THE
,,,,,,,,,,2187.0,Instituto Tecnológico Metropolitano,Colombia,"25,069",19.7,0%,43 : 57,11.862,12.9,7.9,9.0,18.7,30.9,2026.0,Instituto Tecnológico Metropolitano,Colombia,2026,THE only,THE record not matched in QS
1201-1400,1001-1200,International Christian University,Japan,Asia,S,FO,HI,Private for Profit,6.3,,,,,,,,,,,,,,,International Christian University,Japan,2026,QS only,QS record not matched in THE
,,,,,,,,,,1694.0,International Hellenic University,Greece,"58,142",37.1,3%,44 : 56,24.147,9.8,10.5,48.8,28.9,32.2,2026.0,International Hellenic University,Greece,2026,THE only,THE record not matched in QS
,,,,,,,,,,783.0,"International Institute of Information Technology, Hyderabad",India,"1,882",13.4,7%,20 : 80,39.483,29.3,18.7,66.3,56.6,43.5,2026.0,"International Institute of Information Technology, Hyderabad",India,2026,THE only,THE record not matched in QS
1201-1400,1001-1200,International Islamic University Islamabad (IIU),Pakistan,Asia,L,CO,HI,Public,9.3,902.0,"International Islamic University, Islamabad",Pakistan,"24,592",21.9,5%,58 : 42,37.178,19.0,11.3,77.1,20.4,58.0,2026.0,International Islamic University Islamabad (IIU),Pakistan,2026,QS + THE,Matched
613,661-670,International Islamic University Malaysia (IIUM),Malaysia,Asia,L,FC,HI,Public,36.0,,,,,,,,,,,,,,,International Islamic University Malaysia (IIUM),Malaysia,2026,QS only,QS record not matched in THE
,,,,,,,,,,861.0,International University of Rabat,Morocco,"8,278",23.1,5%,55 : 45,37.8305,18.4,12.0,73.2,31.0,76.3,2026.0,International University of Rabat,Morocco,2026,THE only,THE record not matched in QS
509,516,INTI International University,Malaysia,Asia,S,CO,VH,Private for Profit,14.3,,,,,,,,,,,,,,,INTI International University,Malaysia,2026,QS only,QS record not matched in THE
,,,,,,,,,,1954.0,Ionian University,Greece,"9,707",24.9,3%,53 : 47,18.739500000000003,16.3,11.6,26.0,23.8,24.2,2026.0,Ionian University,Greece,2026,THE only,THE record not matched in QS
449,470,Iowa State University,United States of America,Americas,L,CO,VH,Public,26.4,424.0,Iowa State University,United States,"27,116",17.2,8%,46 : 54,48.96,41.6,36.2,64.7,87.0,44.0,2026.0,Iowa State University,United States,2026,QS + THE,Matched
399,426,IPB University (aka Bogor Agricultural University),Indonesia,Asia,L,FO,VH,Public,35.1,1524.0,IPB University,Indonesia,"22,993",10.3,5%,58 : 42,26.9045,32.8,12.3,27.5,51.1,44.9,2026.0,IPB University (aka Bogor Agricultural University),Indonesia,2026,QS + THE,Matched
,,,,,,,,,,901.0,Iqra University,Pakistan,"10,121",13.1,1%,26 : 74,37.181,17.8,9.5,80.9,24.0,52.6,2026.0,Iqra University,Pakistan,2026,THE only,THE record not matched in QS
,,,,,,,,,,703.0,Iran University of Medical Sciences,Iran,"8,876",7.8,19%,54 : 46,41.43449999999999,48.3,17.3,56.5,43.1,46.6,2026.0,Iran University of Medical Sciences,Iran,2026,THE only,THE record not matched in QS
,,,,,,,,,,416.0,Iran University of Science and Technology,Iran,"12,556",29.0,7%,36 : 64,49.21499999999999,32.0,33.9,79.5,88.6,34.0,2026.0,Iran University of Science and Technology,Iran,2026,THE only,THE record not matched in QS
496,436,Iran University of Science and Technology,Iran (Islamic Republic of),Asia,M,FO,VH,Public,11.8,,,,,,,,,,,,,,,Iran University of Science and Technology,Iran (Islamic Republic of),2026,QS only,QS record not matched in THE
,,,,,,,,,,1967.0,Irkutsk National Research Technical University,Russian Federation,"9,686",10.1,13%,37 : 63,18.501,23.0,10.2,16.7,29.2,34.4,2026.0,Irkutsk National Research Technical University,Russian Federation,2026,THE only,THE record not matched in QS
,,,,,,,,,,2180.0,Irkutsk State University,Russian Federation,"12,975",14.1,5%,66 : 34,12.865,18.6,9.8,6.0,17.4,27.2,2026.0,Irkutsk State University,Russian Federation,2026,THE only,THE record not matched in QS
711-720,661-670,ISCTE - Instituto Universitario de Lisboa,Portugal,Europe,L,FO,VH,Public,8.6,,,,,,,,,,,,,,,ISCTE - Instituto Universitario de Lisboa,Portugal,2026,QS only,QS record not matched in THE
,,,,,,,,,,675.0,ISCTE-University Institute of Lisbon,Portugal,"10,999",26.0,18%,53 : 47,41.878,29.8,35.9,54.9,59.9,50.8,2026.0,ISCTE-University Institute of Lisbon,Portugal,2026,THE only,THE record not matched in QS
,,,,,,,,,,762.0,Isfahan University of Medical Sciences,Iran,"10,760",10.5,4%,59 : 41,39.8685,46.6,22.5,49.7,65.6,27.5,2026.0,Isfahan University of Medical Sciences,Iran,2026,THE only,THE record not matched in QS
,,,,,,,,,,664.0,Isfahan University of Technology,Iran,"10,096",22.6,3%,40 : 60,42.0945,34.1,27.6,59.7,84.4,36.6,2026.0,Isfahan University of Technology,Iran,2026,THE only,THE record not matched in QS
571,489,Isfahan University of Technology,Iran (Islamic Republic of),Asia,M,FO,VH,,7.8,,,,,,,,,,,,,,,Isfahan University of Technology,Iran (Islamic Republic of),2026,QS only,QS record not matched in THE
,,,,,,,,,,867.0,The Islamia University of Bahawalpur,Pakistan,"53,834",40.7,0%,47 : 53,37.74699999999999,17.6,13.3,80.3,22.2,49.6,2026.0,The Islamia University of Bahawalpur,Pakistan,2026,THE only,THE record not matched in QS
1401+,,"The Islamia University of Bahawalpur,Pakistan",Pakistan,Asia,XL,CO,HI,Public,6.2,,,,,,,,,,,,,,,"The Islamia University of Bahawalpur,Pakistan",Pakistan,2026,QS only,QS record not matched in THE
1201-1400,,Islamic Azad University,Iran (Islamic Republic of),Asia,,CO,,,6.1,,,,,,,,,,,,,,,Islamic Azad University,Iran (Islamic Republic of),2026,QS only,QS record not matched in THE
,,,,,,,,,,1972.0,Islamic Science University of Malaysia (USIM),Malaysia,"13,123",17.6,6%,64 : 36,18.4715,22.1,9.4,18.5,16.9,40.0,2026.0,Islamic Science University of Malaysia (USIM),Malaysia,2026,THE only,THE record not matched in QS
1401+,1201-1400,Islamic University of Indonesia (Universitas Islam Indonesia),Indonesia,Asia,L,CO,HI,Private not for Profit,17.5,1973.0,Islamic University of Indonesia,Indonesia,"26,457",31.6,3%,45 : 55,18.462,14.6,11.7,24.9,17.8,34.4,2026.0,Islamic University of Indonesia (Universitas Islam Indonesia),Indonesia,2026,QS + THE,Matched
1001-1200,,Islamic University of Lebanon,Lebanon,Asia,M,FO,MD,Private for Profit,10.6,,,,,,,,,,,,,,,Islamic University of Lebanon,Lebanon,2026,QS only,QS record not matched in THE
1201-1400,1001-1200,Islamic University of Madinah,Saudi Arabia,Asia,L,FO,HI,Public,8.1,1019.0,Islamic University of Madinah,Saudi Arabia,"17,328",24.6,77%,2 : 98,35.102,29.7,10.0,53.6,17.7,88.7,2026.0,Islamic University of Madinah,Saudi Arabia,2026,QS + THE,Matched
1201-1400,,Islamic University of Technology,Bangladesh,Asia,S,FO,VH,Public,6.5,,,,,,,,,,,,,,,Islamic University of Technology,Bangladesh,2026,QS only,QS record not matched in THE
,,,,,,,,,,804.0,Isra University (Jordan),Jordan,"5,275",21.5,24%,52 : 48,38.974,12.9,16.5,80.5,16.9,74.1,2026.0,Isra University (Jordan),Jordan,2026,THE only,THE record not matched in QS
1201-1400,1201-1400,Istanbul Aydin University,Türkiye,Asia,L,FO,HI,Private not for Profit,8.6,,,,,,,,,,,,,,,Istanbul Aydin University,Türkiye,2026,QS only,QS record not matched in THE
,,,,,,,,,,1661.0,Istanbul Aydın University,Turkey,"17,587",16.5,20%,53 : 47,24.65,21.2,10.0,35.0,18.4,56.8,2026.0,Istanbul Aydın University,Turkey,2026,THE only,THE record not matched in QS
1401+,1201-1400,Istanbul Bilgi Üniversitesi,Türkiye,Asia,M,FO,HI,Private not for Profit,5.6,,,,,,,,,,,,,,,Istanbul Bilgi Üniversitesi,Türkiye,2026,QS only,QS record not matched in THE
,,,,,,,,,,1696.0,Istanbul Bilgi University,Turkey,"12,199",18.6,15%,51 : 49,24.128,16.3,11.1,38.0,17.2,53.5,2026.0,Istanbul Bilgi University,Turkey,2026,THE only,THE record not matched in QS
,,,,,,,,,,1130.0,Istanbul Gelisim University,Turkey,"38,924",37.8,17%,46 : 54,33.212500000000006,12.8,9.4,71.7,16.2,60.7,2026.0,Istanbul Gelisim University,Turkey,2026,THE only,THE record not matched in QS
,,,,,,,,,,1470.0,Istanbul Medeniyet University,Turkey,"14,298",15.2,3%,52 : 48,27.745,19.2,10.9,53.6,18.5,28.0,2026.0,Istanbul Medeniyet University,Turkey,2026,THE only,THE record not matched in QS
,,,,,,,,,,843.0,Istanbul Medipol University,Turkey,"20,473",34.4,43%,65 : 35,38.1375,33.0,29.4,42.6,54.6,65.5,2026.0,Istanbul Medipol University,Turkey,2026,THE only,THE record not matched in QS
,,,,,,,,,,1549.0,Istanbul Okan University,Turkey,"8,326",12.9,25%,46 : 54,26.3295,26.5,11.0,34.1,17.8,58.4,2026.0,Istanbul Okan University,Turkey,2026,THE only,THE record not matched in QS
,,,,,,,,,,512.0,Istanbul Technical University,Turkey,"18,037",18.8,15%,42 : 58,45.952,39.7,41.7,50.4,93.0,44.1,2026.0,Istanbul Technical University,Turkey,2026,THE only,THE record not matched in QS
298,326,Istanbul Technical University,Türkiye,Asia,L,FO,VH,Public,39.6,,,,,,,,,,,,,,,Istanbul Technical University,Türkiye,2026,QS only,QS record not matched in THE
,,,,,,,,,,1206.0,Istanbul University,Turkey,"55,489",22.0,8%,56 : 44,32.035000000000004,32.2,25.6,33.2,56.8,38.4,2026.0,Istanbul University,Turkey,2026,THE only,THE record not matched in QS
628,621-630,Istanbul University,Türkiye,Asia,XL,FC,HI,Public,33.3,,,,,,,,,,,,,,,Istanbul University,Türkiye,2026,QS only,QS record not matched in THE
,,,,,,,,,,1244.0,Istanbul University-Cerrahpaşa,Turkey,"23,338",18.0,6%,52 : 48,31.423,30.3,21.2,39.1,63.6,27.5,2026.0,Istanbul University-Cerrahpaşa,Turkey,2026,THE only,THE record not matched in QS
,,,,,,,,,,1091.0,İstinye University,Turkey,"9,114",24.1,19%,62 : 38,33.912499999999994,12.9,18.4,61.1,17.4,76.6,2026.0,İstinye University,Turkey,2026,THE only,THE record not matched in QS
711-720,595,ITMO University,Russian Federation,Europe,L,FO,VH,Public,12.7,1018.0,ITMO University,Russian Federation,"14,352",17.8,17%,32 : 68,35.1055,30.4,29.9,33.0,80.6,57.9,2026.0,ITMO University,Russian Federation,2026,QS + THE,Matched
1001-1200,1001-1200,IU Indianapolis,United States of America,Americas,L,FC,HI,Public,8.9,,,,,,,,,,,,,,,IU Indianapolis,United States,2026,QS only,QS record not matched in THE
,,,,,,,,,,1227.0,Iuliu Haţieganu University of Medicine and Pharmacy Cluj-Napoca,Romania,"8,247",8.7,37%,68 : 32,31.7015,26.2,12.4,51.3,31.1,49.9,2026.0,Iuliu Haţieganu University of Medicine and Pharmacy Cluj-Napoca,Romania,2026,THE only,THE record not matched in QS
1201-1400,1201-1400,Ivan Franko National University of Lviv,Ukraine,Europe,L,CO,HI,Public,9.6,2092.0,Ivan Franko National University of Lviv,Ukraine,"21,946",13.2,1%,66 : 34,15.696,20.5,11.1,11.5,18.8,29.7,2026.0,Ivan Franko National University of Lviv,Ukraine,2026,QS + THE,Matched
951-1000,791-800,Ivane Javakhishvili Tbilisi State University,Georgia,Asia,L,FC,MD,Public,11.9,2048.0,Ivane Javakhishvili Tbilisi State University,Georgia,"24,977",32.5,5%,59 : 41,16.7215,15.0,12.2,15.9,18.9,43.1,2026.0,Ivane Javakhishvili Tbilisi State University,Georgia,2026,QS + THE,Matched
,,,,,,,,,,2183.0,Ivanovo State University of Chemistry and Technology,Russian Federation,"3,876",19.4,8%,36 : 64,12.738499999999998,16.9,9.6,7.0,24.1,25.4,2026.0,Ivanovo State University of Chemistry and Technology,Russian Federation,2026,THE only,THE record not matched in QS
,,,,,,,,,,1157.0,Izmir Institute of Technology,Turkey,"4,000",14.2,4%,47 : 53,32.74999999999999,31.1,29.8,32.2,60.4,38.1,2026.0,Izmir Institute of Technology,Turkey,2026,THE only,THE record not matched in QS
,,,,,,,,,,1974.0,İzmir Kâtip Çelebi University,Turkey,"19,291",16.5,4%,52 : 48,18.427,16.5,10.4,25.1,18.9,30.1,2026.0,İzmir Kâtip Çelebi University,Turkey,2026,THE only,THE record not matched in QS
,,,,,,,,,,1717.0,Izmir University of Economics,Turkey,"7,269",24.2,3%,54 : 46,23.8275,16.9,15.6,34.6,39.2,31.6,2026.0,Izmir University of Economics,Turkey,2026,THE only,THE record not matched in QS
1201-1400,1201-1400,Izmir Yüksek Teknoloji Enstitüsü (IYTE),Türkiye,Asia,S,CO,VH,Public,11.0,,,,,,,,,,,,,,,Izmir Yüksek Teknoloji Enstitüsü (IYTE),Türkiye,2026,QS only,QS record not matched in THE
1401+,,Jadara University,Jordan,Asia,M,CO,MD,Private not for Profit,9.9,,,,,,,,,,,,,,,Jadara University,Jordan,2026,QS only,QS record not matched in THE
676,721-730,Jadavpur University,India,Asia,M,FO,VH,Public,23.2,1172.0,Jadavpur University,India,"12,547",19.0,0%,32 : 68,32.5865,36.6,15.9,45.0,53.9,20.3,2026.0,Jadavpur University,India,2026,QS + THE,Matched
303,312,Jagiellonian University,Poland,Europe,XL,FO,VH,Public,49.9,606.0,Jagiellonian University,Poland,"32,022",8.8,13%,67 : 33,43.5905,43.8,33.6,51.1,54.2,45.7,2026.0,Jagiellonian University,Poland,2026,QS + THE,Matched
1201-1400,1201-1400,Jahangirnagar University,Bangladesh,Asia,L,CO,HI,,12.2,941.0,Jahangirnagar University,Bangladesh,"11,895",16.9,0%,50 : 50,36.5275,19.7,10.0,77.6,20.4,49.6,2026.0,Jahangirnagar University,Bangladesh,2026,QS + THE,Matched
440,445,James Cook University,Australia,Oceania,M,FC,VH,Public,21.0,357.0,James Cook University,Australia,"9,165",15.3,14%,66 : 34,51.2615,28.8,31.9,82.3,67.8,81.5,2026.0,James Cook University,Australia,2026,QS + THE,Matched
1401+,1201-1400,"Jamia Hamdard, New Delhi",India,Asia,M,FO,VH,Public,6.3,,,,,,,,,,,,,,,"Jamia Hamdard, New Delhi",India,2026,QS only,QS record not matched in THE
,,,,,,,,,,962.0,Jamia Hamdard University,India,"9,927",15.6,2%,45 : 55,36.1515,22.5,14.5,68.4,39.1,43.0,2026.0,Jamia Hamdard University,India,2026,THE only,THE record not matched in QS
,,,,,,,,,,487.0,Jamia Millia Islamia,India,"10,370",12.1,5%,52 : 48,46.7825,43.0,18.2,79.6,43.8,42.5,2026.0,Jamia Millia Islamia,India,2026,THE only,THE record not matched in QS
761-770,851-900,"Jamia Millia Islamia, New Delhi",India,Asia,M,CO,VH,Public,13.0,,,,,,,,,,,,,,,"Jamia Millia Islamia, New Delhi",India,2026,QS only,QS record not matched in THE
,,,,,,,,,,2016.0,Jan Evangelista Purkyně University,Czechia,"8,393",18.0,5%,64 : 36,17.474999999999998,17.1,13.2,15.4,21.0,41.9,2026.0,Jan Evangelista Purkyně University,Czechia,2026,THE only,THE record not matched in QS
,,,,,,,,,,2035.0,Jan Kochanowski University in Kielce,Poland,"9,998",11.6,4%,60 : 40,17.006500000000003,20.1,11.3,16.4,19.5,28.0,2026.0,Jan Kochanowski University in Kielce,Poland,2026,THE only,THE record not matched in QS
,,,,,,,,,,1051.0,Jashore University of Science and Technology,Bangladesh,"4,510",14.7,0%,33 : 67,34.605,15.2,11.5,74.8,19.4,47.6,2026.0,Jashore University of Science and Technology,Bangladesh,2026,THE only,THE record not matched in QS
,,,,,,,,,,1071.0,Jaume I University,Spain,"12,039",14.3,11%,58 : 42,34.242999999999995,25.7,21.9,50.4,46.7,44.3,2026.0,Jaume I University,Spain,2026,THE only,THE record not matched in QS
,,,,,,,,,,1004.0,Jawaharlal Nehru Technological University Anantapur (JNTUA),India,"5,743",17.9,0%,39 : 61,35.407000000000004,31.5,19.9,59.6,22.4,20.9,2026.0,Jawaharlal Nehru Technological University Anantapur (JNTUA),India,2026,THE only,THE record not matched in QS
558,580,Jawaharlal Nehru University,India,Asia,M,CO,VH,Public,39.8,821.0,Jawaharlal Nehru University,India,"7,759",11.2,1%,42 : 58,38.5835,46.0,24.4,48.5,39.5,24.1,2026.0,Jawaharlal Nehru University,India,2026,QS + THE,Matched
