QS_Rank,QS_Previous_Rank,QS_University_Name,QS_Country,QS_Region,QS_Size,QS_Focus,QS_Research_Level,QS_Status,QS_Academic_Reputation_Score,THE_Rank,THE_University_Name,THE_Country,THE_Student_Population,THE_Students_to_Staff_Ratio,THE_International_Students,THE_Female_to_Male_Ratio,THE_Overall_Score,THE_Teaching,THE_Research_Environment,THE_Research_Quality,THE_Industry_Impact,THE_International_Outlook,THE_Year,University_Name,Country,Year,Data_Source,QS_THE_Match_Status
851-900,741-750,Altai State University,Russian Federation,Europe,M,CO,VH,Public,12.9,1796.0,Altai State University,Russian Federation,"9,271",18.5,27%,56 : 44,22.3405,23.0,16.4,17.1,25.3,62.1,2026.0,Altai State University,Russian Federation,2026,QS + THE,Matched
,,,,,,,,,,1777.0,Altınbaş University,Turkey,"11,126",24.2,51%,41 : 59,22.726499999999994,17.6,11.7,30.3,24.1,54.5,2026.0,Altınbaş University,Turkey,2026,THE only,THE record not matched in QS
,,,,,,,,,,1666.0,Alzahra University,Iran,"9,275",25.5,2%,100 : 0,24.571,27.3,16.9,28.1,26.6,28.3,2026.0,Alzahra University,Iran,2026,THE only,THE record not matched in QS
,,,,,,,,,,688.0,Amedeo Avogadro University of Eastern Piedmont,Italy,"15,817",35.5,10%,61 : 39,41.62499999999999,25.6,24.8,70.6,52.9,47.8,2026.0,Amedeo Avogadro University of Eastern Piedmont,Italy,2026,THE only,THE record not matched in QS
1401+,,American International University-Bangladesh (AIUB),Bangladesh,Asia,M,FO,VH,Private not for Profit,8.3,1465.0,American International University – Bangladesh,Bangladesh,"13,515",21.8,2%,26 : 74,27.875,11.9,9.2,59.1,25.1,39.5,2026.0,American International University-Bangladesh (AIUB),Bangladesh,2026,QS + THE,Matched
587,711-720,American University,United States of America,Americas,M,CO,VH,Private not for Profit,19.8,757.0,American University,United States,"13,316",12.0,11%,64 : 36,39.9395,35.7,18.6,63.6,41.6,43.6,2026.0,American University,United States,2026,QS + THE,Matched
381,410,The American University in Cairo,Egypt,Africa,M,CO,VH,Private not for Profit,40.8,795.0,American University in Cairo,Egypt,"6,233",10.4,8%,58 : 42,39.249,30.1,25.9,53.7,33.9,71.9,2026.0,The American University in Cairo,Egypt,2026,QS + THE,Matched
678,621-630,American University in Dubai,United Arab Emirates,Asia,S,FO,HI,Private for Profit,14.4,,,,,,,,,,,,,,,American University in Dubai,United Arab Emirates,2026,QS only,QS record not matched in THE
237,250,American University of Beirut (AUB),Lebanon,Asia,M,FC,VH,Private not for Profit,41.5,,,,,,,,,,,,,,,American University of Beirut (AUB),Lebanon,2026,QS only,QS record not matched in THE
901-950,,American University of Central Asia,Kyrgyzstan,Asia,S,FO,MD,Private not for Profit,12.7,,,,,,,,,,,,,,,American University of Central Asia,Kyrgyzstan,2026,QS only,QS record not matched in THE
563,611-620,American University of the Middle East,Kuwait,Asia,M,SP,HI,Private for Profit,25.9,614.0,American University of the Middle East,Kuwait,"5,014",11.1,15%,62 : 38,43.3375,29.1,19.5,71.9,27.7,85.6,2026.0,American University of the Middle East,Kuwait,2026,QS + THE,Matched
591,485,American University of Ras Al Khaimah ( AURAK ),United Arab Emirates,Asia,S,SP,MD,Public,8.4,,,,,,,,,,,,,,,American University of Ras Al Khaimah ( AURAK ),United Arab Emirates,2026,QS only,QS record not matched in THE
272,332,American University of Sharjah (AUS),United Arab Emirates,Asia,M,CO,VH,Private not for Profit,31.7,560.0,American University of Sharjah,United Arab Emirates,"5,432",17.7,72%,53 : 47,44.93899999999999,20.9,28.7,73.0,49.7,87.5,2026.0,American University of Sharjah (AUS),United Arab Emirates,2026,QS + THE,Matched
,,,,,,,,,,385.0,Amirkabir University of Technology,Iran,"8,344",17.8,4%,34 : 66,50.2755,37.1,33.0,75.3,91.9,46.6,2026.0,Amirkabir University of Technology,Iran,2026,THE only,THE record not matched in QS
456,403,Amirkabir University of Technology,Iran (Islamic Republic of),Asia,M,SP,VH,Public,8.5,,,,,,,,,,,,,,,Amirkabir University of Technology,Iran (Islamic Republic of),2026,QS only,QS record not matched in THE
951-1000,1001-1200,Amity University,India,Asia,L,CO,VH,Private not for Profit,10.5,,,,,,,,,,,,,,,Amity University,India,2026,QS only,QS record not matched in THE
,,,,,,,,,,1292.0,"Amity University, Gurugram",India,"5,677",14.8,1%,52 : 48,30.4785,24.9,13.4,53.6,17.3,33.0,2026.0,"Amity University, Gurugram",India,2026,THE only,THE record not matched in QS
,,,,,,,,,,1723.0,Amity University - Kolkata,India,"5,985",15.0,10%,72 : 28,23.7005,18.0,11.5,33.5,22.2,54.9,2026.0,Amity University - Kolkata,India,2026,THE only,THE record not matched in QS
,,,,,,,,,,662.0,"Amity University, Noida",India,"29,510",14.9,14%,57 : 43,42.127,28.7,17.6,76.9,42.1,50.7,2026.0,"Amity University, Noida",India,2026,THE only,THE record not matched in QS
,,,,,,,,,,991.0,"Amity University Rajasthan, Jaipur",India,"3,978",19.5,0%,40 : 60,35.66850000000001,31.6,12.8,65.9,17.8,28.7,2026.0,"Amity University Rajasthan, Jaipur",India,2026,THE only,THE record not matched in QS
